Company Name,Homepage URL,LinkedIn URL,Enrichment
dbi signs,https://www.dbisigns.com/,https://www.linkedin.com/company/dbi-projectsllc,"```json
{
  ""Industry"": ""Construction"",
  ""EstimatedEmployees"": ""51-200"",
  ""AnnualRevenue"": ""Not available"",
  ""Summary"": ""DBI Projects is an owner’s representation firm specializing in project management and real estate advisory, providing strategic planning, budgeting, scheduling, and execution services for real estate and capital projects."",
  ""Rationale"": ""DBI Projects is not directly related to signage or durable film products like DuPont™ Tedlar®. Their focus is on construction and project management, which does not align with the signage industry.""
}
```"
"Aurora Science and Technology Co., Ltd",https://cn.linkedin.com/in/patrick-d-b49204a2,https://www.linkedin.com/company/aurora-signage,Agent stopped due to iteration limit or time limit.
Easelly Wrap Design,https://www.linkedin.com/in/shaun-swanner-49217650,N/A,"```json
{
  ""Industry"": ""Design and Printing"",
  ""EstimatedEmployees"": ""10-50"",
  ""AnnualRevenue"": ""$1M-$5M"",
  ""Summary"": ""Easelly Wrap Design specializes in creating custom wraps and signage solutions for various applications, including vehicles and commercial spaces."",
  ""Rationale"": ""Easelly Wrap Design's focus on custom wraps and signage makes them a suitable candidate for durable film products like DuPont™ Tedlar®, which are often used in high-quality, long-lasting signage and wrap applications.""
}
```"
Laguna Tools Inc.,https://www.linkedin.com/in/stephen-stoppenbrink-89672359,https://www.linkedin.com/company/lagunatools,"```json
{
  ""Industry"": ""Machinery Manufacturing"",
  ""EstimatedEmployees"": ""51-200"",
  ""AnnualRevenue"": ""Estimated $10M - $50M"",
  ""Summary"": ""Laguna Tools is a manufacturer of high-quality tools for the woodworking, metalworking, and sign-making industries, as well as for home hobbyists. Based in Grand Prairie, Texas, the company has been leading the industry in woodworking innovations for over 40 years."",
  ""Rationale"": ""Laguna Tools specializes in machinery for the sign-making industry, which suggests they have expertise and equipment that could be compatible with signage or durable film products like DuPont™ Tedlar®. Their focus on precision and high-production efficiency aligns with the needs of producing durable and high-quality signage.""
}
```"
Photo Tex,https://www.linkedin.com/in/walter-gierlach-jr-98983216,N/A,"```json
{
  ""Industry"": ""Printing and Signage"",
  ""EstimatedEmployees"": ""50-100"",
  ""AnnualRevenue"": ""$10-20 million"",
  ""Summary"": ""Photo Tex is a company specializing in adhesive fabric media that can be used for various applications including wall coverings, signage, and displays. Their products are known for being easy to apply, remove, and reposition without leaving residue."",
  ""Rationale"": ""Photo Tex's expertise in adhesive fabric media makes them a suitable candidate for signage and durable film products. Their products' ease of use and versatility align well with the needs of businesses looking for reliable and high-quality signage solutions.""
}
```"
Duraluxe Inc.,https://tt.linkedin.com/company/duraluxe-international,https://www.linkedin.com/company/duraluxe-inc,"```json
{
  ""Industry"": ""Manufacturing"",
  ""EstimatedEmployees"": ""11-50"",
  ""AnnualRevenue"": ""Estimated under $10 million"",
  ""Summary"": ""Duraluxe Inc is a global leader in manufacturing technically advanced, patented, eco-friendly powder coated dye sublimatable aluminum panels for the photo and sign industry. They offer high definition photo panels in various finishes, designed to protect against microbial, graffiti, UV fading, scratches, and chipping."",
  ""Rationale"": ""Duraluxe Inc specializes in durable, high-quality aluminum panels that are ideal for signage due to their resistance to environmental damage and their ability to preserve images. Their focus on eco-friendly and advanced manufacturing techniques aligns well with the needs of businesses looking for durable film products like DuPont™ Tedlar®.""
}
```"
EPM INTERNATIONAL TRADE LLC,https://www.linkedin.com/in/hariharan-margabandhu-302494,N/A,"```json
{
  ""Industry"": ""International Trade"",
  ""EstimatedEmployees"": ""10-50"",
  ""AnnualRevenue"": ""$1M-$5M"",
  ""Summary"": ""EPM INTERNATIONAL TRADE LLC is involved in the import and export of various goods, focusing on providing high-quality products to their clients. They have a diverse portfolio that includes materials suitable for signage and durable applications."",
  ""Rationale"": ""The company's involvement in international trade and their focus on high-quality materials suggest they may have the necessary distribution channels and client base for signage or durable film products like DuPont™ Tedlar®. Their diverse portfolio indicates a potential interest in expanding into new product lines such as durable films.""
}
```"
4Ever Products,https://www.4everproducts.com/,N/A,Agent stopped due to iteration limit or time limit.
AA LED Supply Corp.,https://www.linkedin.com/in/danh-tieu-b1462a194,https://www.linkedin.com/company/aa-led-supply-corp.,"```json
{
  ""Industry"": ""LED Supply"",
  ""EstimatedEmployees"": ""11-50"",
  ""AnnualRevenue"": ""Less than $5 million"",
  ""Summary"": ""AA LED Supply Corp. is a company based in Rosemead, California, specializing in the supply of LED products. The company has a small team and focuses on providing LED solutions."",
  ""Rationale"": ""AA LED Supply Corp. is a good fit for signage or durable film products like DuPont™ Tedlar® because they specialize in LED products, which are commonly used in signage. Their expertise in LED technology suggests they have the capability to integrate durable films into their offerings, enhancing the durability and quality of their signage solutions.""
}
```"
"Component Signage, Inc.",https://www.linkedin.com/in/stewart-curtis-32567b56,https://www.linkedin.com/company/component-signage-inc-,Agent stopped due to iteration limit or time limit.
CALIFORNIA GLOBAL-SIGNS INFORMATION TECHNOLOGY CO INC,https://www.linkedin.com/in/jonathan-p-417a8289,N/A,Agent stopped due to iteration limit or time limit.
"Anhui Angran Green Technology Co.,Ltd.",https://www.linkedin.com/posts/wen-justin-bb32ba309_anhui-angran-green-technology-co-ltd-we-activity-7196484325654097920-CrRs,https://www.linkedin.com/company/aristotle,"```json
{
  ""Industry"": ""Signage"",
  ""EstimatedEmployees"": ""10-50"",
  ""AnnualRevenue"": ""Less than $5 million"",
  ""Summary"": ""Anhui Angran Green Technology Co., Ltd is a professional company specializing in customizing signages."",
  ""Rationale"": ""The company specializes in customizing signages, which indicates a potential need for durable film products like DuPont™ Tedlar® for signage applications.""
}
```"
"Cirrus Systems, Inc.",https://www.linkedin.com/in/taylorargens,https://www.linkedin.com/company/cirrusled,"```json
{
  ""Industry"": ""Software Development"",
  ""EstimatedEmployees"": ""51-200"",
  ""AnnualRevenue"": ""Estimated between $5 million to $25 million"",
  ""Summary"": ""Cirrus Systems, Inc. is a technology and digital solutions provider specializing in high-quality, high-definition digital signage. They offer a complete suite of tools including outdoor and indoor signage, analytics software, and hardware monitoring, all integrated under a cloud-based platform."",
  ""Rationale"": ""Cirrus Systems, Inc. is a good fit for signage or durable film products like DuPont™ Tedlar® because they specialize in digital signage solutions, including outdoor displays and digital window posters. Their focus on high-definition, durable signage aligns with the need for durable film products.""
}
```"
Aludecor,https://www.aludecor.com/,N/A,Agent stopped due to iteration limit or time limit.
CGS Imaging,https://www.linkedin.com/in/nathaniel-kunkel-a23aa9175,https://www.linkedin.com/company/cgs-imaging,"```json
{
  ""Industry"": ""Printing Services"",
  ""EstimatedEmployees"": ""32"",
  ""AnnualRevenue"": ""Estimated under $5 million"",
  ""Summary"": ""CGS Imaging is a full-service graphics manufacturer specializing in wide and grand format imaging applications. They offer services in digital printing, fleet and vehicle graphics, and custom image design, providing quick turnaround and competitive pricing without sacrificing quality."",
  ""Rationale"": ""CGS Imaging is a good fit for signage or durable film products like DuPont™ Tedlar® because they specialize in wide and grand format printing, vehicle graphics, and dimensional signage, which are applications that benefit from durable and high-quality materials.""
}
```"
Fusion LED Digital Displays,https://www.linkedin.com/posts/fusiondigital_community-avtechnology-project-activity-7176972277735989248-pJ50,N/A,"```json
{
  ""Industry"": ""AV Technology and Digital Signage"",
  ""EstimatedEmployees"": ""10-50"",
  ""AnnualRevenue"": ""Less than $5 million"",
  ""Summary"": ""Fusion LED Digital Displays specializes in the design and implementation of comprehensive video and control systems, including custom display installations, LED video walls, and digital signage solutions."",
  ""Rationale"": ""The company's expertise in digital signage and custom display installations makes them a suitable candidate for signage or durable film products like DuPont™ Tedlar®.""
}
```"
Arter Neon Sign Inc,https://www.linkedin.com/in/neonsign,https://www.linkedin.com/company/arter-neon-sign-inc.,"```json
{
  ""Industry"": ""Consumer Goods"",
  ""EstimatedEmployees"": ""11-50"",
  ""AnnualRevenue"": ""Not explicitly stated, but likely under $5 million based on company size"",
  ""Summary"": ""Arter Neon Sign Inc is a company based in South El Monte, California, specializing in consumer goods, particularly in the signage industry."",
  ""Rationale"": ""Arter Neon Sign Inc is involved in the signage industry, which often requires durable materials like DuPont™ Tedlar® for long-lasting and weather-resistant signs. Their focus on signage makes them a potential customer for such products.""
}
```"
Canon USA,https://canonusa.com/,https://www.linkedin.com/company/canonusa,"```json
{
  ""Industry"": ""Computers and Electronics Manufacturing"",
  ""EstimatedEmployees"": ""5,001-10,000"",
  ""AnnualRevenue"": ""Estimated in billions (as a leading provider in digital imaging solutions)"",
  ""Summary"": ""Canon USA is a leading provider of consumer, business-to-business, and industrial digital imaging solutions, committed to contributing to the prosperity of humanity and environmental protection."",
  ""Rationale"": ""Canon USA is involved in digital imaging solutions, which likely includes printing and signage. Their commitment to innovative technology and environmental initiatives suggests they could benefit from durable film products like DuPont™ Tedlar® for high-quality, sustainable signage solutions.""
}
```"
3M Commercial Solutions,https://www.linkedin.com/posts/ross-bernstein-speaker_3m-3mer-keynotespeaker-activity-6807666837980098560-yRQv?trk=public_profile_like_view,N/A,Agent stopped due to iteration limit or time limit.
Avery Dennison Graphics Solutions,https://gh.linkedin.com/company/avery-dennison-graphics-solutions,https://www.linkedin.com/company/avery-dennison-graphics-solutions,"```json
{
  ""Industry"": ""Advertising Services"",
  ""EstimatedEmployees"": ""35,000"",
  ""AnnualRevenue"": ""Not explicitly stated, but likely in the billions given the global presence and employee count."",
  ""Summary"": ""Avery Dennison Graphics Solutions is a global materials science and digital identification solutions company, providing a wide range of branding and information solutions. They specialize in digital imaging media, screen and cut materials, custom color matching, and technical service."",
  ""Rationale"": ""Avery Dennison Graphics Solutions is a leader in the graphics industry, offering products like digital imaging media and screen materials, which are directly relevant to signage and durable film products. Their focus on sustainability and innovative materials makes them a strong candidate for partnerships involving durable film products like DuPont™ Tedlar®.""
}
```"
Cimpress plc,https://www.linkedin.com/company/cimpress,https://in.linkedin.com/company/cimpress-india,"```json
{
  ""Industry"": ""Technology, Information and Internet"",
  ""EstimatedEmployees"": ""10,001+"",
  ""AnnualRevenue"": ""$1 billion+"",
  ""Summary"": ""Cimpress plc is a public company that invests in and builds customer-focused, entrepreneurial, mass-customization businesses. It operates a group of more than a dozen businesses, including Vista, National Pen, and Pixartprinting, specializing in mass customization, manufacturing, and technology."",
  ""Rationale"": ""Cimpress specializes in mass customization and manufacturing, with a focus on personalized physical products. This makes them a good fit for signage or durable film products, as they have the capability to produce customized and durable materials efficiently.""
}
```"
Muller Martini,https://mullermartini.com/en/homepage/,N/A,"```json
{
  ""Industry"": ""Graphic Arts and Print Finishing Systems"",
  ""EstimatedEmployees"": ""1000-5000"",
  ""AnnualRevenue"": ""Estimated $500 million - $1 billion"",
  ""Summary"": ""Muller Martini is a global leader in the graphic arts industry, specializing in print finishing systems. They offer a range of products including saddle stitching, softcover production, hardcover production, and digital solutions."",
  ""Rationale"": ""Muller Martini's expertise in print finishing systems and their involvement in digital solutions suggest they have the capability to integrate signage and durable film products into their offerings. Their focus on innovation and digital transformation aligns with the needs of industries requiring durable and high-quality print solutions.""
}
```"
Air and Water Systems,https://airandwatersystems.com/,N/A,"```json
{
  ""Industry"": ""Industrial Humidification and Cooling"",
  ""EstimatedEmployees"": ""50-100"",
  ""AnnualRevenue"": ""$10-20 million"",
  ""Summary"": ""Air & Water Systems specializes in industrial humidification and evaporative cooling equipment, offering custom and innovative solutions for industrial plants worldwide."",
  ""Rationale"": ""The company's focus on industrial applications and custom solutions suggests potential use of durable films like DuPont™ Tedlar® for equipment protection and signage in industrial environments.""
}
```"
SinaLite,https://sinalite.com/en_us,N/A,"```json
{
  ""Industry"": ""Wholesale Printing"",
  ""EstimatedEmployees"": ""100-200"",
  ""AnnualRevenue"": ""$10M-$50M"",
  ""Summary"": ""SinaLite is a trade wholesale printing company that offers a wide range of printing services including business cards, postcards, and flyers. They focus on maximizing print profits for their clients and provide various specialty and durable printing options."",
  ""Rationale"": ""SinaLite offers durable printing options such as Spot UV and gloss lamination, which are relevant for signage and durable film products. Their focus on wholesale printing and a variety of specialty finishes makes them a potential fit for products like DuPont™ Tedlar®.""
}
```"
Scodix,https://scodix.com/,N/A,"```json
{
  ""Industry"": ""Digital Printing and Embellishment"",
  ""EstimatedEmployees"": ""200-500"",
  ""AnnualRevenue"": ""$50M-$100M"",
  ""Summary"": ""Scodix offers advanced digital embellishment solutions for the printing industry, focusing on packaging, commercial print, publishing, and web-to-print markets. Their technology includes a range of presses and applications that provide high-quality, sustainable print embellishments."",
  ""Rationale"": ""Scodix's focus on digital embellishment and printing solutions, particularly in packaging and commercial print, aligns well with the needs of signage and durable film products. Their emphasis on sustainability and high-quality embellishments makes them a suitable partner for products like DuPont™ Tedlar®.""
}
```"
Soyang Europe,https://uk.linkedin.com/company/soyang-europe,https://www.linkedin.com/company/soyang-europe/,"```json
{
  ""Industry"": ""Printing Services"",
  ""EstimatedEmployees"": ""11-50"",
  ""AnnualRevenue"": ""Not explicitly stated, but likely in the range of a small to medium enterprise given the employee size and industry."",
  ""Summary"": ""Soyang Europe is a leading supplier of digitally printable media for a broad range of industries including wide format and super wide outdoor, retail POS, flag and signage sectors. They offer a variety of innovative substrates and materials, including textiles, PVC, non-PVC, wall and floor coverings."",
  ""Rationale"": ""Soyang Europe specializes in digitally printable media and substrates, which are essential for signage and durable film products. Their focus on innovative and high-quality materials, such as textiles and vinyl, aligns well with the needs of companies looking for durable and versatile signage solutions. Additionally, their capability to deliver products on a next-day service basis makes them a reliable partner for businesses requiring quick turnaround times.""
}
```"
Vivid Laminating Technologies,https://uk.linkedin.com/in/amelia-hodgson-0604061b6,https://uk.linkedin.com/company/vivid-laminating-technologies-limited,"```json
{
  ""Industry"": ""Printing Services"",
  ""EstimatedEmployees"": ""30"",
  ""AnnualRevenue"": ""Not explicitly stated, but likely in the range of a small to medium enterprise given the employee size."",
  ""Summary"": ""Vivid Laminating Technologies Ltd is a leading European designer and manufacturer of laminating machines, specializing in innovative lamination, foil, and print finishing technologies. They offer a range of laminating solutions for various markets, including graphics and signage."",
  ""Rationale"": ""Vivid Laminating Technologies is a good fit for signage or durable film products because they specialize in wide format laminators that are perfect for the graphics and signage industry. Their products are suitable for laminating signs, roll-up & pop-up displays, floor graphics, vehicle wraps, POS displays, posters, and exhibition graphics, which aligns well with the needs for durable film products like DuPont™ Tedlar®.""
}
```"
SwissQprint,https://www.swissqprint.com/,N/A,"```json
{
  ""Industry"": ""Printing Technology"",
  ""EstimatedEmployees"": ""201-500"",
  ""AnnualRevenue"": ""$50M-$100M"",
  ""Summary"": ""SwissQprint is a leading manufacturer of high-quality flatbed and roll-to-roll printers, known for their scalability, modularity, and sustainable production practices."",
  ""Rationale"": ""SwissQprint specializes in flatbed and roll-to-roll printers, which are ideal for producing signage and durable film products. Their focus on sustainability and high-performance printing solutions makes them a suitable partner for companies like DuPont™ Tedlar® that require durable and environmentally-friendly printing solutions.""
}
```"
Hybrid Services,https://www.linkedin.com/company/hybrid-software,https://www.linkedin.com/company/hybrid-it-services-inc,"```json
{
  ""Industry"": ""Software Development"",
  ""EstimatedEmployees"": ""51-200"",
  ""AnnualRevenue"": ""Not explicitly stated, but likely in the range of $10M-$50M based on company size and industry"",
  ""Summary"": ""Hybrid Software is an enterprise software development company focused on innovative productivity tools for the graphic arts industry, offering solutions like CLOUDFLOW workflow, PACKZ editor, and print quality solutions for prepress and print, including labels and packaging, folding cartons, corrugated, wide format, and digital printing."",
  ""Rationale"": ""Hybrid Software's focus on industrial printing and packaging, including wide format and digital printing, makes it a suitable fit for signage and durable film products. Their software solutions are used in prepress and print processes, which are essential for producing high-quality signage and durable films.""
}
```"
Roland DG,https://www.rolanddg.com/en,N/A,"```json
{
  ""Industry"": ""Digital Printing and Fabrication"",
  ""EstimatedEmployees"": ""1000-5000"",
  ""AnnualRevenue"": ""500 million - 1 billion USD"",
  ""Summary"": ""Roland DG Corporation is a leading provider of digital printing solutions, including inkjet printers and printer/cutters, widely used in visual communication fields such as signage and interior decoration. The company also offers 3D digital fabrication tools for personalization and customization."",
  ""Rationale"": ""Roland DG's expertise in digital printing and their focus on signage and interior decoration make them a suitable partner for durable film products like DuPont™ Tedlar®. Their products are designed for high-quality visual communication, which aligns with the needs of signage applications.""
}
```"
Everylite,https://everylite.com/,N/A,"```json
{
  ""Industry"": ""LED Lighting and Signage Solutions"",
  ""EstimatedEmployees"": ""50-200"",
  ""AnnualRevenue"": ""$10M-$50M"",
  ""Summary"": ""Everylite specializes in advanced LED technology for signage and architectural lighting solutions, offering a range of products including LED modules, strip lights, and power supplies."",
  ""Rationale"": ""Everylite's focus on LED technology for signage and architectural applications makes it a suitable candidate for durable film products like DuPont™ Tedlar®, which can enhance the durability and aesthetic of their lighting solutions.""
}
```"
Case Paper + Case Makes,https://www.linkedin.com/in/simonschaffergoldman,https://www.linkedin.com/company/case-paper-company,"```json
{
  ""Industry"": ""Paper & Forest Products"",
  ""EstimatedEmployees"": ""201-500"",
  ""AnnualRevenue"": ""Estimated between $50 million to $100 million"",
  ""Summary"": ""Case Paper is one of the largest paper merchants and converters in the U.S., offering a wide range of paper and paperboard products, custom cutting services, and a robust distribution network across seven locations."",
  ""Rationale"": ""Case Paper specializes in paper, paperboard, converting, packaging, and commercial printing, which aligns well with the needs for signage and durable film products. Their expertise in custom sizes and packaging solutions makes them a suitable partner for products like DuPont™ Tedlar®.""
}
```"
